"filename", "language", "PHP", "HTML", "JavaScript", "PostCSS", "YAML", "comment", "blank", "total"
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\en\kjenndalen.js", "JavaScript", 0, 0, 160, 0, 0, 0, 8, 168
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\en\lauki.html", "HTML", 0, 54, 0, 0, 0, 0, 7, 61
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\en\laukisetra.html", "HTML", 0, 50, 0, 0, 0, 0, 11, 61
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\en\laukisetra.js", "JavaScript", 0, 0, 61, 0, 0, 0, 3, 64
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\en\login_back.php", "PHP", 36, 0, 0, 0, 0, 0, 13, 49
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\en\login_front.php", "PHP", 36, 0, 0, 0, 0, 0, 6, 42
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\en\logout.php", "PHP", 7, 0, 0, 0, 0, 0, 0, 7
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\en\mainmap.html", "HTML", 0, 21, 0, 0, 0, 0, 7, 28
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\en\molla.html", "HTML", 0, 52, 0, 0, 0, 0, 8, 60
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\en\nykyrkje.html", "HTML", 0, 68, 0, 0, 0, 0, 19, 87
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\en\picktrip.html", "HTML", 0, 36, 0, 0, 0, 0, 8, 44
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\en\questions.js", "JavaScript", 0, 0, 158, 0, 0, 0, 12, 170
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\en\questions_back.php", "PHP", 122, 0, 0, 0, 0, 0, 20, 142
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\en\questions_fetch.php", "PHP", 80, 0, 0, 0, 0, 0, 22, 102
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\en\questions_front.php", "PHP", 127, 0, 0, 0, 0, 0, 16, 143
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\en\register_back.php", "PHP", 83, 0, 0, 0, 0, 9, 28, 120
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\en\register_front.php", "PHP", 66, 0, 0, 0, 0, 0, 11, 77
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\en\singer-food.html", "HTML", 0, 51, 0, 0, 0, 0, 11, 62
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\en\singerheimen.html", "HTML", 0, 59, 0, 0, 0, 0, 9, 68
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\en\sites.html", "HTML", 0, 36, 0, 0, 0, 0, 8, 44
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\en\skarstein.html", "HTML", 0, 50, 0, 0, 0, 0, 9, 59
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\en\skarstein.js", "JavaScript", 0, 0, 79, 0, 0, 0, 3, 82
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\en\skred.html", "HTML", 0, 45, 0, 0, 0, 0, 8, 53
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\en\skylift.html", "HTML", 0, 50, 0, 0, 0, 0, 8, 58
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\en\skylift.js", "JavaScript", 0, 0, 64, 0, 0, 0, 3, 67
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\en\stabukk.html", "HTML", 0, 52, 0, 0, 0, 0, 7, 59
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\en\strand.html", "HTML", 0, 49, 0, 0, 0, 0, 6, 55
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\en\sundekiosken.html", "HTML", 0, 48, 0, 0, 0, 0, 7, 55
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\en\toilet.html", "HTML", 0, 27, 0, 0, 0, 0, 7, 34
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\en\toilet.js", "JavaScript", 0, 0, 12, 0, 0, 0, 8, 20
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\en\weather.html", "HTML", 0, 22, 0, 0, 0, 1, 6, 29
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\en\yris.html", "HTML", 0, 51, 0, 0, 0, 0, 8, 59
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\faq.html", "HTML", 0, 85, 0, 0, 0, 0, 13, 98
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\faq.js", "JavaScript", 0, 0, 17, 0, 0, 0, 3, 20
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\fjordhotel.html", "HTML", 0, 50, 0, 0, 0, 0, 4, 54
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\food.html", "HTML", 0, 38, 0, 0, 0, 0, 5, 43
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\food.js", "JavaScript", 0, 0, 0, 0, 0, 59, 0, 59
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\gamlekyrkja.html", "HTML", 0, 60, 0, 0, 0, 0, 13, 73
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\hamburger.js", "JavaScript", 0, 0, 10, 0, 0, 0, 2, 12
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\huaren.html", "HTML", 0, 52, 0, 0, 0, 0, 7, 59
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\index.html", "HTML", 0, 61, 0, 0, 0, 5, 17, 83
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\index.js", "JavaScript", 0, 0, 1146, 0, 0, 11, 169, 1326
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\info\aabrekk.html", "HTML", 0, 71, 0, 0, 0, 0, 7, 78
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\info\apartments.html", "HTML", 0, 48, 0, 0, 0, 0, 5, 53
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\info\briksdalen.html", "HTML", 0, 54, 0, 0, 0, 0, 6, 60
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\info\bunnpris.html", "HTML", 0, 48, 0, 0, 0, 0, 5, 53
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\info\discover.html", "HTML", 0, 60, 0, 0, 0, 0, 6, 66
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\info\farm.html", "HTML", 0, 51, 0, 0, 0, 0, 7, 58
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\info\fjordbua.html", "HTML", 0, 48, 0, 0, 0, 0, 5, 53
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\info\fjordhotel.html", "HTML", 0, 59, 0, 0, 0, 0, 7, 66
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\info\flaaten.html", "HTML", 0, 51, 0, 0, 0, 0, 7, 58
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\info\gryta.html", "HTML", 0, 60, 0, 0, 0, 0, 6, 66
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\info\index.html", "HTML", 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\info\isabella.html", "HTML", 0, 48, 0, 0, 0, 0, 5, 53
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\info\ljos.html", "HTML", 0, 55, 0, 0, 0, 0, 6, 61
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\info\muri_hytter.html", "HTML", 0, 53, 0, 0, 0, 0, 6, 59
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\info\olden_active.html", "HTML", 0, 53, 0, 0, 0, 0, 8, 61
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\info\olden_adventure.html", "HTML", 0, 52, 0, 0, 0, 0, 6, 58
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\info\olden_camping.html", "HTML", 0, 61, 0, 0, 0, 0, 6, 67
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\info\olden_sauna.html", "HTML", 0, 56, 0, 0, 0, 0, 12, 68
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\info\olden_souvenir.html", "HTML", 0, 48, 0, 0, 0, 0, 5, 53
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\info\olden_taxi.html", "HTML", 0, 43, 0, 0, 0, 0, 6, 49
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\info\riccovero.html", "HTML", 0, 53, 0, 0, 0, 0, 5, 58
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\info\singerheimen.html", "HTML", 0, 64, 0, 0, 0, 0, 7, 71
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\info\skogstad.html", "HTML", 0, 52, 0, 0, 0, 0, 5, 57
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\info\stabukk.html", "HTML", 0, 48, 0, 0, 0, 0, 5, 53
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\info\sunde.html", "HTML", 0, 53, 0, 0, 0, 0, 8, 61
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\info\trollshop.html", "HTML", 0, 48, 0, 0, 0, 0, 5, 53
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\info\vanberg.html", "HTML", 0, 52, 0, 0, 0, 0, 6, 58
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\info\viking.html", "HTML", 0, 50, 0, 0, 0, 0, 6, 56
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\kjenndalen.html", "HTML", 0, 56, 0, 0, 0, 0, 7, 63
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\lauki.html", "HTML", 0, 54, 0, 0, 0, 0, 8, 62
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\laukisetra.html", "HTML", 0, 50, 0, 0, 0, 0, 11, 61
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\login_back.php", "PHP", 36, 0, 0, 0, 0, 0, 13, 49
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\login_front.php", "PHP", 36, 0, 0, 0, 0, 0, 6, 42
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\logout.php", "PHP", 7, 0, 0, 0, 0, 0, 0, 7
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\mainmap.html", "HTML", 0, 21, 0, 0, 0, 0, 5, 26
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\molla.html", "HTML", 0, 52, 0, 0, 0, 0, 8, 60
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\nykyrkje.html", "HTML", 0, 68, 0, 0, 0, 0, 12, 80
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\pick_accommodation.html", "HTML", 0, 74, 0, 0, 0, 0, 15, 89
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\pick_stores.html", "HTML", 0, 80, 0, 0, 0, 0, 18, 98
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\pick_tour.html", "HTML", 0, 74, 0, 0, 0, 0, 17, 91
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\picktrip.html", "HTML", 0, 38, 0, 0, 0, 0, 4, 42
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\qr\qr-kaia.html", "HTML", 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\qr\qr-kråka.html", "HTML", 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\qr\qr-sentrum.html", "HTML", 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\qr\qr.html", "HTML", 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\questions.js", "JavaScript", 0, 0, 158, 0, 0, 0, 12, 170
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\questions_back.php", "PHP", 122, 0, 0, 0, 0, 0, 20, 142
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\questions_fetch.php", "PHP", 80, 0, 0, 0, 0, 0, 22, 102
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\questions_front.php", "PHP", 127, 0, 0, 0, 0, 0, 16, 143
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\register_back.php", "PHP", 83, 0, 0, 0, 0, 9, 28, 120
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\register_front.php", "PHP", 66, 0, 0, 0, 0, 0, 11, 77
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\singer-food.html", "HTML", 0, 52, 0, 0, 0, 0, 6, 58
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\singerheimen.html", "HTML", 0, 59, 0, 0, 0, 0, 7, 66
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\sites.html", "HTML", 0, 38, 0, 0, 0, 0, 6, 44
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\skarstein.html", "HTML", 0, 49, 0, 0, 0, 0, 10, 59
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\skred.html", "HTML", 0, 45, 0, 0, 0, 0, 5, 50
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\skylift.html", "HTML", 0, 50, 0, 0, 0, 0, 10, 60
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\stabukk.html", "HTML", 0, 53, 0, 0, 0, 0, 4, 57
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\strand.html", "HTML", 0, 49, 0, 0, 0, 0, 6, 55
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\style.css", "PostCSS", 0, 0, 0, 1058, 0, 0, 180, 1238
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\sundekiosken.html", "HTML", 0, 48, 0, 0, 0, 0, 6, 54
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\swiper.js", "JavaScript", 0, 0, 17, 0, 0, 4, 4, 25
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\toilet.html", "HTML", 0, 27, 0, 0, 0, 0, 7, 34
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\weather.html", "HTML", 0, 22, 0, 0, 0, 0, 6, 28
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\yris.html", "HTML", 0, 52, 0, 0, 0, 0, 8, 60
"Total", "-", 1802, 4350, 3030, 1092, 20, 124, 1625, 12043
